,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,2277900,1704500,0.7164179104477612,0.6254562043795621,0.6676829268292683,0.6326118326118326,0.7286585365853658,0.2900818059738034,"[[120, 40], [17, 24]]"
1,2227300,1691700,0.7263681592039801,0.6503816793893129,0.7102134146341463,0.6577505340391938,0.7426067073170731,0.35559666096770315,"[[118, 42], [13, 28]]"
2,2129400,1581400,0.7213930348258707,0.6609761206535401,0.734298780487805,0.6641203151110051,0.7326219512195122,0.38841477189613766,"[[114, 46], [10, 31]]"
3,2563700,1779500,0.7860696517412935,0.727421052631579,0.829344512195122,0.7408007197480881,0.8588414634146342,0.5473568329411757,"[[121, 39], [4, 37]]"
4,2403400,1822800,0.7164179104477612,0.6394220283533261,0.6948932926829268,0.6453050989133464,0.745579268292683,0.3296811682720874,"[[117, 43], [14, 27]]"
5,2190100,1692700,0.8109452736318408,0.7329192546583851,0.8086890243902439,0.7535493030459472,0.850685975609756,0.5362820805591015,"[[130, 30], [8, 33]]"
6,2138400,1678800,0.746268656716418,0.659842609489051,0.7136432926829268,0.6712842712842713,0.7785823170731707,0.36959059188389587,"[[123, 37], [14, 27]]"
7,2236200,1755800,0.7562189054726368,0.6595731854352544,0.7017530487804877,0.6716671667166717,0.7533536585365853,0.3588558299104347,"[[127, 33], [16, 25]]"
8,2338400,1783100,0.7412935323383084,0.6477751756440281,0.6923780487804878,0.6584313725490196,0.7354420731707316,0.3372162507862988,"[[124, 36], [16, 25]]"
9,2292500,1706000,0.7412935323383084,0.6865013488275576,0.7740091463414633,0.6911347517730496,0.7829268292682926,0.4521197867104272,"[[115, 45], [7, 34]]"
