,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,2268500,146300,0.8838709677419355,0.743161094224924,0.6777777777777778,0.7026854219948849,0.8551851851851852,0.41582996031224023,"[[129, 6], [12, 8]]"
1,2489200,143700,0.8903225806451613,0.8064671814671815,0.6175925925925926,0.6551498494961392,0.8777777777777778,0.37967496843100107,"[[133, 2], [15, 5]]"
2,6294700,174500,0.8838709677419355,0.743161094224924,0.6777777777777778,0.7026854219948849,0.815925925925926,0.41582996031224023,"[[129, 6], [12, 8]]"
3,2349200,153700,0.9032258064516129,0.8443683409436834,0.6675925925925925,0.7146889188857528,0.8544444444444445,0.48047302969287153,"[[133, 2], [13, 7]]"
4,2121400,157100,0.8903225806451613,0.7607142857142857,0.7027777777777778,0.7262337662337662,0.8781481481481481,0.45985677549455983,"[[129, 6], [11, 9]]"
5,2660900,139400,0.8838709677419355,0.743161094224924,0.6777777777777778,0.7026854219948849,0.8677777777777778,0.41582996031224023,"[[129, 6], [12, 8]]"
6,3237400,173200,0.8709677419354839,0.7039007092198581,0.6490740740740741,0.6696504688832055,0.8855555555555557,0.34869074797015975,"[[128, 7], [13, 7]]"
7,1994200,159700,0.9032258064516129,0.807421451787649,0.7101851851851851,0.7456514604529045,0.8403703703703703,0.5083913247642429,"[[131, 4], [11, 9]]"
8,4563200,159700,0.9032258064516129,0.807421451787649,0.7101851851851851,0.7456514604529045,0.8851851851851851,0.5083913247642429,"[[131, 4], [11, 9]]"
9,2031700,147500,0.8838709677419355,0.7517241379310344,0.6351851851851852,0.6678571428571429,0.8488888888888889,0.3689410478750663,"[[131, 4], [14, 6]]"
