,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,141253900,28631600,0.8557213930348259,0.8894194041252865,0.6554115853658536,0.6945768928477862,0.9279725609756098,0.4920174263878743,"[[159, 1], [28, 13]]"
1,136369000,27737500,0.8407960199004975,0.8220430107526882,0.6369664634146341,0.6680429397192403,0.8947408536585366,0.42004329419809433,"[[157, 3], [29, 12]]"
2,141710200,28774900,0.8159203980099502,0.7843264248704663,0.566920731707317,0.5700410475805053,0.8600609756097561,0.2758791938226377,"[[158, 2], [35, 6]]"
3,72517300,17085900,0.8407960199004975,0.84328968903437,0.6278963414634147,0.6577266922094508,0.9467225609756097,0.4190727635607411,"[[158, 2], [30, 11]]"
4,70457200,17196900,0.835820895522388,0.8126432391138274,0.6247713414634146,0.652449567723343,0.8942835365853659,0.39501350024372256,"[[157, 3], [30, 11]]"
5,141515700,28105000,0.845771144278607,0.8151183970856102,0.6582317073170731,0.6920986312200424,0.9217225609756097,0.44659476923885044,"[[156, 4], [27, 14]]"
6,80462000,17498000,0.8159203980099502,0.7843264248704663,0.566920731707317,0.5700410475805053,0.868673780487805,0.2758791938226377,"[[158, 2], [35, 6]]"
7,77438800,16913900,0.8308457711442786,0.8585069444444444,0.5944359756097561,0.6117045454545454,0.8930640243902439,0.3679997448992797,"[[159, 1], [33, 8]]"
8,80054700,17131800,0.8159203980099502,0.7609947643979058,0.5759908536585365,0.5845483492542316,0.8434451219512195,0.2816608950280851,"[[157, 3], [34, 7]]"
9,80419700,16673200,0.8507462686567164,0.9210526315789473,0.6341463414634146,0.6686813186813186,0.8611280487804878,0.47532165988879066,"[[160, 0], [30, 11]]"
10,75025100,17574100,0.8159203980099502,0.7287162162162162,0.6032012195121952,0.621815408085431,0.821875,0.307270515576932,"[[154, 6], [31, 10]]"
11,72534700,17699300,0.8407960199004975,0.8729665071770335,0.6188262195121952,0.6465934065934066,0.8669969512195121,0.42103776577649127,"[[159, 1], [31, 10]]"
12,80830100,17516500,0.835820895522388,0.8126432391138274,0.6247713414634146,0.652449567723343,0.8821646341463415,0.39501350024372256,"[[157, 3], [30, 11]]"
13,76595200,17003000,0.835820895522388,0.7966216216216216,0.6338414634146341,0.662700228832952,0.8624237804878049,0.39849854161971393,"[[156, 4], [29, 12]]"
14,81068400,17239900,0.845771144278607,0.918848167539267,0.6219512195121951,0.6519188872130048,0.8982469512195121,0.4520134724623231,"[[160, 0], [31, 10]]"
15,145255100,29997500,0.8706467661691543,0.9301075268817205,0.6829268292682926,0.7302848885218827,0.9457317073170731,0.5609927134532144,"[[160, 0], [26, 15]]"
16,81572900,17767600,0.8159203980099502,0.7843264248704663,0.566920731707317,0.5700410475805053,0.9256097560975609,0.2758791938226377,"[[158, 2], [35, 6]]"
17,75656500,17812700,0.8208955223880597,0.7767942583732057,0.588185975609756,0.6024175824175824,0.8749237804878048,0.3124699775518925,"[[157, 3], [33, 8]]"
18,143470500,28323100,0.8159203980099502,0.7358670741023683,0.5941310975609756,0.6103222425988997,0.8564024390243903,0.2980095740995708,"[[155, 5], [32, 9]]"
19,81027700,17203900,0.8308457711442786,0.8248803827751197,0.6035060975609756,0.6245054945054944,0.8772865853658537,0.3667538716641919,"[[158, 2], [32, 9]]"
20,147099700,28035800,0.8308457711442786,0.8021685761047463,0.6125762195121951,0.6363346104725415,0.9105182926829268,0.36887394027366777,"[[157, 3], [31, 10]]"
21,78324500,16885900,0.8159203980099502,0.7609947643979058,0.5759908536585365,0.5845483492542316,0.8824695121951219,0.2816608950280851,"[[157, 3], [34, 7]]"
22,77948300,17149900,0.8109452736318408,0.7287081339712919,0.5728658536585366,0.5803296703296703,0.878125,0.2581860834395931,"[[156, 4], [34, 7]]"
23,145077900,29055600,0.845771144278607,0.8510313216195569,0.6400914634146342,0.6735132302855645,0.933155487804878,0.44351546331579844,"[[158, 2], [29, 12]]"
24,81858900,17611100,0.8308457711442786,0.8585069444444444,0.5944359756097561,0.6117045454545454,0.9352134146341464,0.3679997448992797,"[[159, 1], [33, 8]]"
25,78614400,17102500,0.845771144278607,0.8305743243243243,0.6491615853658537,0.6831426392067124,0.870655487804878,0.4441125546411049,"[[157, 3], [28, 13]]"
26,143632400,29390300,0.8407960199004975,0.9166666666666667,0.6097560975609756,0.6345454545454545,0.9386432926829268,0.42769946138415077,"[[160, 0], [32, 9]]"
27,144028600,29654700,0.8656716417910447,0.8761384335154827,0.6888719512195123,0.7318278400948757,0.8936737804878049,0.5330741031666048,"[[158, 2], [25, 16]]"
28,142515100,29039000,0.8407960199004975,0.84328968903437,0.6278963414634147,0.6577266922094508,0.8864329268292683,0.4190727635607411,"[[158, 2], [30, 11]]"
