,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,18952200,146500,0.8255813953488372,0.6127502634351949,0.6407894736842106,0.6235774730084622,0.8657894736842106,0.25198452529309956,"[[67, 9], [6, 4]]"
1,4947300,138700,0.7790697674418605,0.6120879120879121,0.7013157894736842,0.6261725005719515,0.8052631578947368,0.3004334635984143,"[[61, 15], [4, 6]]"
2,3220800,119100,0.8255813953488372,0.6877156659765356,0.8578947368421053,0.7187704381948986,0.9144736842105263,0.5183915465198587,"[[62, 14], [1, 9]]"
3,5003900,101800,0.7558139534883721,0.6311989956057753,0.775,0.6384384384384385,0.8223684210526316,0.37989326812455204,"[[57, 19], [2, 8]]"
4,5171600,102000,0.7558139534883721,0.5805860805860806,0.6447368421052632,0.5868222374742622,0.7947368421052632,0.2159979150053959,"[[60, 16], [5, 5]]"
5,3933200,113000,0.813953488372093,0.6522727272727273,0.7644736842105263,0.6769953051643193,0.8118421052631579,0.40135833957501305,"[[63, 13], [3, 7]]"
6,16296300,153900,0.7674418604651163,0.6051136363636364,0.6947368421052631,0.6160714285714286,0.75,0.2861433040115075,"[[60, 16], [4, 6]]"
7,3801800,168100,0.7209302325581395,0.5991379310344828,0.7118421052631578,0.5946582875098193,0.8026315789473684,0.28983849310799686,"[[55, 21], [3, 7]]"
8,16035900,126300,0.8255813953488372,0.6314553990610329,0.6842105263157895,0.6489795918367347,0.7907894736842105,0.3112264015027324,"[[66, 10], [5, 5]]"
9,3791700,101100,0.8023255813953488,0.5910798122065728,0.6276315789473684,0.6021768707482993,0.7355263157894737,0.21563543532689317,"[[65, 11], [6, 4]]"
10,3928600,105200,0.7558139534883721,0.5986887508626639,0.6881578947368421,0.6062786134728582,0.7671052631578947,0.27253673217771984,"[[59, 17], [4, 6]]"
11,6874100,113800,0.8023255813953488,0.6435897435897436,0.7578947368421052,0.6655227636696408,0.8289473684210527,0.3848690121914327,"[[62, 14], [3, 7]]"
12,4026400,142700,0.7790697674418605,0.6120879120879121,0.7013157894736842,0.6261725005719515,0.8039473684210526,0.3004334635984143,"[[61, 15], [4, 6]]"
13,27707000,224800,0.7325581395348837,0.5690131124913733,0.631578947368421,0.5687813385655113,0.7907894736842106,0.1905851273970069,"[[58, 18], [5, 5]]"
14,24038300,146700,0.7441860465116279,0.592741935483871,0.6815789473684211,0.5967604433077579,0.7381578947368421,0.2595379203281964,"[[58, 18], [4, 6]]"
15,16356200,152600,0.813953488372093,0.6011904761904762,0.6342105263157896,0.6126126126126126,0.6342105263157894,0.23307361127050977,"[[66, 10], [6, 4]]"
16,18725400,134300,0.7441860465116279,0.5545454545454546,0.5947368421052632,0.5558685446009389,0.7078947368421052,0.1437701514895569,"[[60, 16], [6, 4]]"
17,7022300,107100,0.8837209302325582,0.722972972972973,0.7605263157894737,0.7393939393939394,0.8802631578947369,0.4820387003935453,"[[70, 6], [4, 6]]"
18,4268900,120900,0.7558139534883721,0.6311989956057753,0.775,0.6384384384384385,0.8710526315789474,0.37989326812455204,"[[57, 19], [2, 8]]"
19,8736600,147400,0.7790697674418605,0.5741687979539641,0.6144736842105263,0.5826309067688378,0.6460526315789473,0.18428646781851812,"[[63, 13], [6, 4]]"
20,18237800,135200,0.8023255813953488,0.6108269394714407,0.6710526315789473,0.6265644955300127,0.7907894736842105,0.2753705840966363,"[[64, 12], [5, 5]]"
